origin,destination,date,airline,from_time,to_time,duration,stops,cabin_class,base_price,fare_1_cabin,fare_1_carry_on,fare_1_checked_bag,fare_1_price,fare_1_seat_selection,fare_2_cabin,fare_2_carry_on,fare_2_checked_bag,fare_2_price,fare_2_seat_selection,fare_3_cabin,fare_3_carry_on,fare_3_checked_bag,fare_3_price,fare_3_seat_selection,fare_4_cabin,fare_4_carry_on,fare_4_checked_bag,fare_4_price,fare_4_seat_selection,provider_1_name,provider_1_price,provider_2_name,provider_2_price,provider_3_name,provider_3_price,provider_4_name,provider_4_price,provider_5_name,provider_5_price,provider_6_name,provider_6_price,provider_7_name,provider_7_price,provider_8_name,provider_8_price,provider_9_name,provider_9_price,provider_10_name,provider_10_price,provider_11_name,provider_11_price,provider_12_name,provider_12_price,provider_13_name,provider_13_price,provider_14_name,provider_14_price
CAI,ICN,2026-05-20,Emirates,8:05 pm,"5:00 pm
+1",14h 55m,1 stop,Eco Saver,594.0,Eco Saver,1 carry-on bag,2 checked bags,594.0,Seat selection for a fee,Eco Flex,1 carry-on bag,2 checked bags,644.0,Seat selection for a fee,Eco Flex Plus,1 carry-on bag,2 checked bags,1091.0,Seat selection for a fee,,,,,,Expedia,594.0,Expedia,594.0,Booking.com,597.0,Kiwi.com,597.0,eDreams,598.0,Priceline,604.0,OneTravel,604.0,CheapOair,604.0,Mytrip,611.0,Gotogate,613.0,,,,,,,,
CAI,ICN,2026-05-20,"Air China, Spring Airlines",2:15 pm,"3:55 pm
+1",19h 40m,2 stops,Economy Cabin,580.0,Economy Cabin,1 carry-on bag,,580.0,,,,,,,,,,,,,,,,,Kiwi.com,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI,ICN,2026-05-20,Emirates,5:35 pm,"5:00 pm
+1",17h 25m,1 stop,Eco Saver,594.0,Eco Saver,1 carry-on bag,2 checked bags,594.0,Seat selection for a fee,Eco Flex,1 carry-on bag,2 checked bags,644.0,Seat selection for a fee,Eco Flex Plus,1 carry-on bag,2 checked bags,1091.0,Seat selection for a fee,,,,,,Expedia,594.0,Expedia,594.0,Booking.com,597.0,Kiwi.com,597.0,eDreams,598.0,Priceline,604.0,OneTravel,604.0,CheapOair,604.0,Mytrip,611.0,Gotogate,613.0,,,,,,,,
CAI,ICN,2026-05-20,Etihad Airways,3:00 pm,"10:50 am
+1",13h 50m,1 stop,Economy Basic,922.0,Economy Basic,1 carry-on bag,Checked bag: $41,922.0,Seat selection for a fee,Economy Value,1 carry-on bag,,966.0,,Economy Comfort,1 carry-on bag,,1079.0,,,,,,,Gotogate,922.0,Priceline,936.0,OneTravel,936.0,CheapOair,936.0,Expedia,936.0,Booking.com,936.0,eDreams,936.0,Mytrip,936.0,Etihad Airways,936.0,,,,,,,,,,
CAI,ICN,2026-05-20,Qatar Airways,7:50 pm,"5:30 pm
+1",15h 40m,1 stop,Economy Convenience,853.0,Economy Convenience,1 carry-on bag,2 checked bags,853.0,Free seat selection,Economy Classic,1 carry-on bag,2 checked bags,893.0,Seat selection for a fee,Economy Comfort,1 carry-on bag,2 checked bags,1016.0,Free seat selection,,,,,,Qatar Airways,853.0,Priceline,903.0,OneTravel,903.0,Expedia,903.0,,,,,,,,,,,,,,,,,,,,
CAI,ICN,2026-05-25,China Eastern,2:15 pm,"11:55 am
+1",15h 40m,1 stop,Economy Cabin,421.0,Economy Cabin,1 carry-on bag,Checked bag: $194,421.0,,Premium Economy Cabin,1 carry-on bag,2 checked bags,916.0,,,,,,,,,,,,Kiwi.com,421.0,China Eastern,426.0,Mytrip,427.0,Gotogate,436.0,Booking.com,510.0,OneTravel,516.0,CheapOair,516.0,eDreams,516.0,Trip.com,524.0,Jetabroad,535.0,BudgetAir,538.0,Priceline,576.0,,,,
CAI,ICN,2026-05-25,China Eastern,2:15 pm,"3:10 pm
+1",18h 55m,1 stop,Economy Cabin,416.0,Economy Cabin,1 carry-on bag,Checked bag: $194,416.0,,,,,,,,,,,,,,,,,Kiwi.com,416.0,China Eastern,426.0,Mytrip,427.0,Gotogate,436.0,Booking.com,462.0,eDreams,465.0,OneTravel,466.0,CheapOair,466.0,Trip.com,473.0,Jetabroad,482.0,BudgetAir,487.0,Priceline,576.0,,,,
CAI,ICN,2026-05-25,Emirates,8:05 pm,"5:00 pm
+1",14h 55m,1 stop,Eco Saver,594.0,Eco Saver,1 carry-on bag,2 checked bags,594.0,Seat selection for a fee,Eco Flex,1 carry-on bag,2 checked bags,644.0,Seat selection for a fee,Eco Flex Plus,1 carry-on bag,2 checked bags,1091.0,Seat selection for a fee,,,,,,Expedia,594.0,Expedia,594.0,Emirates,594.0,eDreams,595.0,Booking.com,596.0,Kiwi.com,597.0,Trip.com,601.0,Priceline,604.0,OneTravel,604.0,CheapOair,604.0,Mytrip,610.0,BudgetAir,612.0,Gotogate,613.0,Jetabroad,627.0
CAI,ICN,2026-05-25,China Eastern,2:15 pm,"3:20 pm
+1",19h 05m,1 stop,Economy Cabin,421.0,Economy Cabin,1 carry-on bag,Checked bag: $194,421.0,,,,,,,,,,,,,,,,,Kiwi.com,421.0,China Eastern,426.0,Mytrip,427.0,Gotogate,436.0,Booking.com,462.0,OneTravel,466.0,CheapOair,466.0,Trip.com,473.0,Jetabroad,482.0,BudgetAir,487.0,Priceline,576.0,,,,,,
CAI,ICN,2026-05-25,China Eastern,2:15 pm,"5:25 pm
+1",21h 10m,1 stop,Economy Cabin,416.0,Economy Cabin,1 carry-on bag,Checked bag: $194,416.0,,,,,,,,,,,,,,,,,Kiwi.com,416.0,Booking.com,422.0,Mytrip,423.0,eDreams,425.0,OneTravel,426.0,CheapOair,426.0,China Eastern,426.0,Gotogate,432.0,Trip.com,435.0,Jetabroad,441.0,BudgetAir,447.0,Priceline,576.0,Expedia,576.0,,
