origin,destination,route,date,day_of_week,month,airline,duration,duration_min,from_time,to_time,stops_raw,num_stops,cabin_class,base_price,tax,total_cost,fare_1_price,fare_2_price,best_provider_name,best_provider_price,savings_vs_best,budget_level,affordability_score,is_outlier
CAI,ICN,CAI → ICN,2026-05-20,Wednesday,May,Emirates,14h 55m,895,8:05 pm,"5:00 pm
+1",1 stop,1,Eco Saver,594,89.1,683.1,594,644.0,Expedia,594.0,0.0,High (> $500),1.4639,False
CAI,ICN,CAI → ICN,2026-05-20,Wednesday,May,"Air China, Spring Airlines",19h 40m,1180,2:15 pm,"3:55 pm
+1",2 stops,2,Economy,580,87.0,667.0,580,580.0,Kiwi.com,580.0,0.0,High (> $500),1.4993,False
CAI,ICN,CAI → ICN,2026-05-20,Wednesday,May,Emirates,17h 25m,1045,5:35 pm,"5:00 pm
+1",1 stop,1,Eco Saver,594,89.1,683.1,594,644.0,Expedia,594.0,0.0,High (> $500),1.4639,False
CAI,ICN,CAI → ICN,2026-05-20,Wednesday,May,Etihad Airways,13h 50m,830,3:00 pm,"10:50 am
+1",1 stop,1,Economy Basic,922,138.3,1060.3,922,966.0,Gotogate,922.0,0.0,High (> $500),0.9431,True
CAI,ICN,CAI → ICN,2026-05-20,Wednesday,May,Qatar Airways,15h 40m,940,7:50 pm,"5:30 pm
+1",1 stop,1,Economy Convenience,853,127.95,980.95,853,893.0,Qatar Airways,853.0,0.0,High (> $500),1.0194,True
CAI,ICN,CAI → ICN,2026-05-25,Monday,May,China Eastern,15h 40m,940,2:15 pm,"11:55 am
+1",1 stop,1,Economy,421,63.15,484.15,421,916.0,Kiwi.com,421.0,0.0,Medium ($200–$500),2.0655,False
CAI,ICN,CAI → ICN,2026-05-25,Monday,May,China Eastern,18h 55m,1135,2:15 pm,"3:10 pm
+1",1 stop,1,Economy,416,62.4,478.4,416,416.0,Kiwi.com,416.0,0.0,Medium ($200–$500),2.0903,False
CAI,ICN,CAI → ICN,2026-05-25,Monday,May,Emirates,14h 55m,895,8:05 pm,"5:00 pm
+1",1 stop,1,Eco Saver,594,89.1,683.1,594,644.0,Expedia,594.0,0.0,High (> $500),1.4639,False
CAI,ICN,CAI → ICN,2026-05-25,Monday,May,China Eastern,19h 05m,1145,2:15 pm,"3:20 pm
+1",1 stop,1,Economy,421,63.15,484.15,421,421.0,Kiwi.com,421.0,0.0,Medium ($200–$500),2.0655,False
CAI,ICN,CAI → ICN,2026-05-25,Monday,May,China Eastern,21h 10m,1270,2:15 pm,"5:25 pm
+1",1 stop,1,Economy,416,62.4,478.4,416,416.0,Kiwi.com,416.0,0.0,Medium ($200–$500),2.0903,False
