origin,destination,date,flight_name,airplane_name,from_time,to_time,stops,duration,cabin,price
CAI,LXR,2026-05-05,Air Cairo,,5:15 pm,6:55 pm,nonstop,1h 40m,Economy Cabin,114.0
CAI,LXR,2026-05-05,Egyptair,,7:25 pm,8:30 pm,nonstop,1h 05m,Economy Cabin,222.0
CAI,LXR,2026-05-05,Egyptair,,1:55 pm,2:55 pm,nonstop,1h 00m,Economy Cabin,231.0
LXR,CAI,2026-05-05,Egyptair,,9:10 pm,10:20 pm,nonstop,1h 10m,Economy Cabin,221.0
CAI,SSH,2026-05-05,Air Cairo,,10:20 pm,11:50 pm,nonstop,1h 30m,Economy Cabin,84.0
CAI,SSH,2026-05-05,Air Cairo,,4:15 pm,5:15 pm,nonstop,1h 00m,Economy Cabin,104.0
CAI,SSH,2026-05-05,Egyptair,,8:50 pm,9:50 pm,nonstop,1h 00m,Economy Cabin,186.0
CAI,SSH,2026-05-05,Air Cairo,,11:30 am,12:30 pm,nonstop,1h 00m,Economy Cabin,112.0
CAI,SSH,2026-05-05,Air Cairo,,12:30 pm,2:00 pm,nonstop,1h 30m,Economy Cabin,112.0
SSH,CAI,2026-05-05,Air Cairo,,11:00 pm,"12:00 am
+1",nonstop,1h 00m,Economy Cabin,86.0
SSH,CAI,2026-05-05,Air Cairo,,6:15 pm,7:15 pm,nonstop,1h 00m,Economy Cabin,104.0
SSH,CAI,2026-05-05,Egyptair,,10:30 pm,11:30 pm,nonstop,1h 00m,Economy Cabin,188.0
SSH,CAI,2026-05-05,Air Cairo,,1:30 pm,2:30 pm,nonstop,1h 00m,Economy Cabin,112.0
SSH,CAI,2026-05-05,Air Cairo,,2:45 pm,4:15 pm,nonstop,1h 30m,Economy Cabin,112.0
SSH,CAI,2026-05-05,Egyptair,,12:40 pm,1:40 pm,nonstop,1h 00m,Fully Flex,215.0
CAI,MIL,2026-05-05,Egyptair,,1:50 pm,4:50 pm,nonstop,4h 00m,Economy Cabin,271.0
CAI,MIL,2026-05-05,"Air Cairo, Wizz Air",,10:20 pm,"1:35 am
+2",1 stop,28h 15m,Economy Cabin + Basic,213.0
CAI,MIL,2026-05-05,ITA Airways,,5:55 pm,11:10 pm,1 stop,6h 15m,Economy Cabin,383.0
