origin,destination,date,day_of_week,flight_name,airplane_name,from_time,to_time,stops,duration,cabin,price,tax,total_cost,budget_level,affordability_score,is_outlier
CAI,LXR,2026-05-05,Tuesday,Air Cairo,,5:15 pm,6:55 pm,nonstop,1h 40m,Economy Cabin,114.0,17.099999999999998,131.1,Low (< $200),7.627765064836003,False
CAI,LXR,2026-05-05,Tuesday,Egyptair,,7:25 pm,8:30 pm,nonstop,1h 05m,Economy Cabin,222.0,33.3,255.3,Medium ($200-500),3.916960438699569,False
CAI,LXR,2026-05-05,Tuesday,Egyptair,,1:55 pm,2:55 pm,nonstop,1h 00m,Economy Cabin,231.0,34.65,265.65,Medium ($200-500),3.7643515904385474,False
LXR,CAI,2026-05-05,Tuesday,Egyptair,,9:10 pm,10:20 pm,nonstop,1h 10m,Economy Cabin,221.0,33.15,254.15,Medium ($200-500),3.934684241589612,False
CAI,SSH,2026-05-05,Tuesday,Air Cairo,,10:20 pm,11:50 pm,nonstop,1h 30m,Economy Cabin,84.0,12.6,96.6,Low (< $200),10.351966873706004,False
CAI,SSH,2026-05-05,Tuesday,Air Cairo,,4:15 pm,5:15 pm,nonstop,1h 00m,Economy Cabin,104.0,15.6,119.6,Low (< $200),8.361204013377927,False
CAI,SSH,2026-05-05,Tuesday,Egyptair,,8:50 pm,9:50 pm,nonstop,1h 00m,Economy Cabin,186.0,27.9,213.9,Medium ($200-500),4.675081813931744,False
CAI,SSH,2026-05-05,Tuesday,Air Cairo,,11:30 am,12:30 pm,nonstop,1h 00m,Economy Cabin,112.0,16.8,128.8,Low (< $200),7.763975155279502,False
CAI,SSH,2026-05-05,Tuesday,Air Cairo,,12:30 pm,2:00 pm,nonstop,1h 30m,Economy Cabin,112.0,16.8,128.8,Low (< $200),7.763975155279502,False
SSH,CAI,2026-05-05,Tuesday,Air Cairo,,11:00 pm,"12:00 am
+1",nonstop,1h 00m,Economy Cabin,86.0,12.9,98.9,Low (< $200),10.111223458038422,False
SSH,CAI,2026-05-05,Tuesday,Air Cairo,,6:15 pm,7:15 pm,nonstop,1h 00m,Economy Cabin,104.0,15.6,119.6,Low (< $200),8.361204013377927,False
SSH,CAI,2026-05-05,Tuesday,Egyptair,,10:30 pm,11:30 pm,nonstop,1h 00m,Economy Cabin,188.0,28.2,216.2,Medium ($200-500),4.6253469010175765,False
SSH,CAI,2026-05-05,Tuesday,Air Cairo,,1:30 pm,2:30 pm,nonstop,1h 00m,Economy Cabin,112.0,16.8,128.8,Low (< $200),7.763975155279502,False
SSH,CAI,2026-05-05,Tuesday,Air Cairo,,2:45 pm,4:15 pm,nonstop,1h 30m,Economy Cabin,112.0,16.8,128.8,Low (< $200),7.763975155279502,False
SSH,CAI,2026-05-05,Tuesday,Egyptair,,12:40 pm,1:40 pm,nonstop,1h 00m,Fully Flex,215.0,32.25,247.25,Medium ($200-500),4.044489383215369,False
CAI,MIL,2026-05-05,Tuesday,Egyptair,,1:50 pm,4:50 pm,nonstop,4h 00m,Economy Cabin,271.0,40.65,311.65,Medium ($200-500),3.208727739451308,False
CAI,MIL,2026-05-05,Tuesday,"Air Cairo, Wizz Air",,10:20 pm,"1:35 am
+2",1 stop,28h 15m,Economy Cabin + Basic,213.0,31.95,244.95,Medium ($200-500),4.082465809348847,False
CAI,MIL,2026-05-05,Tuesday,ITA Airways,,5:55 pm,11:10 pm,1 stop,6h 15m,Economy Cabin,383.0,57.449999999999996,440.45,Medium ($200-500),2.2704052673402204,False
CAI,MIL,2026-05-05,Tuesday,SWISS,,6:10 pm,11:40 pm,1 stop,6h 30m,Economy Basic,384.0,57.599999999999994,441.6,Medium ($200-500),2.2644927536231885,False
CAI,MIL,2026-05-05,Tuesday,Lufthansa,,4:20 pm,11:10 pm,1 stop,7h 50m,Economy Basic,385.0,57.75,442.75,Medium ($200-500),2.258610954263128,False
CAI,MIL,2026-05-05,Tuesday,"Lufthansa, Air Dolomiti",,4:20 pm,11:10 pm,1 stop,7h 50m,Economy Basic + Economy,433.0,64.95,497.95,Medium ($200-500),2.008233758409479,False
CAI,MIL,2026-05-05,Tuesday,"Egyptair, SWISS",,6:10 pm,11:40 pm,1 stop,6h 30m,Best Offer + Economy Flex,2762.0,414.3,3176.3,High (> $500),0.3148317224443535,True
CAI,MIL,2026-05-05,Tuesday,Etihad Airways,,7:45 pm,"6:45 am
+1",1 stop,12h 00m,Economy Basic,1867.0,280.05,2147.05,High (> $500),0.46575533872057007,True
CAI,MIL,2026-05-05,Tuesday,Turkish Airlines,,10:15 pm,"8:40 am
+1",1 stop,11h 25m,Promotion,372.0,55.8,427.8,Medium ($200-500),2.337540906965872,False
CAI,MIL,2026-05-05,Tuesday,"Egyptair, easyJet",,4:35 pm,"1:05 am
+1",1 stop,9h 30m,Economy Cabin + Light,451.0,67.64999999999999,518.65,High (> $500),1.9280825219319389,False
CAI,MIL,2026-05-05,Tuesday,ITA Airways,,5:55 pm,"7:40 am
+1",1 stop,14h 45m,Economy Cabin,406.0,60.9,466.9,Medium ($200-500),2.141786249732277,False
CAI,MIL,2026-05-05,Tuesday,Qatar Airways,,7:50 pm,"7:55 am
+1",1 stop,13h 05m,Economy Classic,630.0,94.5,724.5,High (> $500),1.3802622498274673,False
CAI,MIL,2026-05-05,Tuesday,ITA Airways,,5:55 pm,"8:10 am
+1",1 stop,15h 15m,Economy Cabin,406.0,60.9,466.9,Medium ($200-500),2.141786249732277,False
CAI,MIL,2026-05-05,Tuesday,Turkish Airlines,,9:45 pm,"8:40 am
+1",1 stop,11h 55m,Promotion,487.0,73.05,560.05,High (> $500),1.7855548611731098,False
